12;8
"398.77540706746834,-306.8748287065938";"2,17,19,13";"31,35,38,4"
"259.83356903232055,178.91229327516123";"3,9";"31,3"
"107.93177761003487,-202.08197674513755";"0,9";"31,40"
"460.3177827650394,352.025832540538";"1,4,16";"31,2,6"
"563.3284740046211,462.4821487980343";"3,6";"2,45"
"-375.72451223649875,107.14915584106558";"7,10,12,22";"36,27,21,22"
"818.1818227490514,347.2992335697126";"4,21";"45,9"
"-277.50287105189125,396.5982087988433";"5,22";"36,4"
"305.8875905729546,-82.86477988011413";"13,16";"48,19"
"183.841638081026,50.53958782357615";"2,1";"40,3"
"-103.55824986417386,116.99828333515708";"5,20";"27,3"
"73.89612291532039,147.59672169602942";"15,22,20";"47,48,8"
"-312.9404327584991,-127.77366031733493";"5";"21"
"546.287426841884,-193.46946461000624";"8,14,0";"48,17,4"
"695.7886489376353,28.294879419135253";"13,21";"17,3"
"285.5627116001705,373.1757685462149";"11,16";"47,19"
"434.54359693898704,161.55333258006436";"15,8,21,3";"19,19,15,6"
"150.4154810034626,-490.7918383497689";"0,18";"35,11"
"-46.1602455407681,-351.26102404917896";"20,19,17";"44,7,11"
"136.8837004744544,-344.9865018772249";"0,18";"38,7"
"-37.827632689474,-42.277980476074035";"18,10,11";"44,3,8"
"675.068505920703,192.88957466872057";"14,16,6";"3,15,9"
"-156.4701482450091,288.4852041902564";"11,5,7";"48,22,4"
